NAME                          VERSION                    TYPE   
spdx-expression-parse         1.0.2                      npm     
spdx-license-ids              1.2.0                      npm     
sshpk                         1.10.1                     npm     
startpar                      0.59-3                     deb     
string-width                  1.0.2                      npm     
string_decoder                0.10.31                    npm     
stringstream                  0.0.5                      npm     
strip-ansi                    3.0.1                      npm     
supports-color                2.0.0                      npm     
systemd                       215-17+deb8u5              deb     
systemd-sysv                  215-17+deb8u5              deb     
sysv-rc                       2.88dsf-59                 deb     
sysvinit-utils                2.88dsf-59                 deb     
tar                           1.27.1-2+deb8u1            deb     
tar                           2.2.1                      npm     
text-table                    0.2.0                      npm     
tough-cookie                  2.3.1                      npm     
tunnel-agent                  0.4.3                      npm     
tweetnacl                     0.14.3                     npm     
typedarray                    0.0.6                      npm     
tzdata                        2016j-0+deb8u1             deb     
udev                          215-17+deb8u5              deb     
uid-number                    0.0.6                      npm     
umask                         1.1.0                      npm     
unique-filename               1.1.0                      npm     
unique-slug                   2.0.0                      npm     
unpipe                        1.0.0                      npm     
util-deprecate                1.0.2                      npm     
util-extend                   1.0.3                      npm     
util-linux                    2.25.2-6                   deb     
validate-npm-package-license  3.0.1                      npm     
validate-npm-package-name     2.2.2                      npm     
verror                        1.3.6                      npm     
wcwidth                       1.0.0                      npm     
wget                          1.16-1+deb8u1              deb     
which                         1.2.11                     npm     
wide-align                    1.1.0                      npm     
wrappy                        1.0.2                      npm     
write-file-atomic             1.2.0                      npm     
xtend                         4.0.1                      npm     
zlib1g                        1:1.2.8.dfsg-2+b1          deb     
